University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Taizhou College,Dabachang,China,Nurse,Synchronised hybrid info-mediaries,2017-02-11,2017-08-04,4755.78,CNY
Nevsky Institute of Language and Culture,Cherëmushki,Russia,Senior Financial Analyst,Focused 6th generation function,2017-02-03,2017-03-26,9071.23,RUB
Spertus Institute of Jewish Studies,Warren,United States,Staff Scientist,Organic dynamic support,2017-09-14,2017-10-20,4293.29,USD
Ecole Supérieure d'Optique,Billère,France,Desktop Support Technician,Triple-buffered asynchronous moderator,2016-08-17,2017-02-11,5921.31,EUR
Tibet University of Nationalities,Yulin,China,Human Resources Assistant II,Diverse dedicated concept,2016-06-16,2016-12-06,1990.33,CNY
Brjansk State Technical University,Karabash,Russia,Executive Secretary,Virtual asymmetric matrices,2019-05-14,2019-09-10,7044.45,RUB
Jiangsu University of Science and Technology,Shuangqiao,China,Administrative Assistant II,Synergized even-keeled solution,2017-08-16,2017-11-02,9181.65,CNY
Universitas Muhammadiyah Sumatra Utara,Samanggen,Indonesia,Business Systems Development Analyst,Total neutral projection,2019-08-16,2019-08-19,8817.5,IDR
Kobe Shoin Women's University,Kawaguchi,Japan,Director of Sales,Multi-tiered 5th generation structure,2018-08-09,2018-12-26,3123.38,JPY
Universidad Católica de Cuyo,Río Cuarto,Argentina,Senior Quality Engineer,Persevering zero tolerance leverage,2019-05-29,2019-12-16,6267.26,ARS
Universidad Privada Franz Tamayo (UNIFRANZ),San Pedro,Bolivia,Recruiter,Future-proofed impactful emulation,2017-12-15,2018-03-20,7018.53,BOB
National Institute of Development Administration,Non Narai,Thailand,Nuclear Power Engineer,Cloned zero tolerance knowledge base,2017-03-14,2017-08-24,9565.58,THB
"Universidad Nacional de La Libertad, Trujillo",Andarapa,Peru,Analyst Programmer,Persistent systematic website,2017-05-25,2017-10-15,1156.59,PEN
University of West Bohemia,Blansko,Czech Republic,Financial Advisor,Universal fresh-thinking product,2018-04-14,2018-06-06,9836.84,CZK
Zhongnan University of Technology,Chengtang,China,Teacher,Object-based full-range hardware,2016-08-01,2016-10-23,1740.15,CNY
Guangzhou University of Traditional Chinese Medicine,Sanlanbahai,China,Geological Engineer,Networked tangible instruction set,2017-12-07,2018-01-05,4732.6,CNY
Universitas Katolik Soegijapranoto,Bangekdewa,Indonesia,Staff Accountant III,Balanced maximized pricing structure,2018-12-08,2019-03-03,702.56,IDR
Copperbelt University,Mufumbwe,Zambia,Payment Adjustment Coordinator,Enhanced dynamic initiative,2017-08-19,2018-03-06,9512.02,ZMW
Universidad de Cienfuegos,La Sierpe,Cuba,Food Chemist,Reactive directional encryption,2017-06-28,2017-11-24,3818.26,CUP
